,Year,Month,ONI,Month_num,Date,ENSO_Phase,ONI_lag_1m,ONI_lag_3m,ONI_lag_6m
0,2010,DJF,1.3,1,2010-01-01,El Nino,,,
1,2010,JFM,1.2,1,2010-01-01,El Nino,1.3,,
2,2010,FMA,0.9,2,2010-02-01,El Nino,1.2,,
3,2010,MAM,0.5,3,2010-03-01,El Nino,0.9,1.3,
4,2010,AMJ,0.0,4,2010-04-01,Neutral,0.5,1.2,
5,2010,MJJ,-0.4,5,2010-05-01,Neutral,0.0,0.9,
6,2010,JJA,-0.9,6,2010-06-01,La Nina,-0.4,0.5,1.3
7,2010,JAS,-1.2,7,2010-07-01,La Nina,-0.9,0.0,1.2
8,2010,ASO,-1.4,8,2010-08-01,La Nina,-1.2,-0.4,0.9
9,2010,SON,-1.5,9,2010-09-01,La Nina,-1.4,-0.9,0.5
10,2010,OND,-1.4,10,2010-10-01,La Nina,-1.5,-1.2,0.0
11,2010,NDJ,-1.4,11,2010-11-01,La Nina,-1.4,-1.4,-0.4
12,2011,DJF,-1.3,1,2011-01-01,La Nina,-1.4,-1.5,-0.9
13,2011,JFM,-1.0,1,2011-01-01,La Nina,-1.3,-1.4,-1.2
14,2011,FMA,-0.7,2,2011-02-01,La Nina,-1.0,-1.4,-1.4
15,2011,MAM,-0.5,3,2011-03-01,La Nina,-0.7,-1.3,-1.5
16,2011,AMJ,-0.4,4,2011-04-01,Neutral,-0.5,-1.0,-1.4
17,2011,MJJ,-0.3,5,2011-05-01,Neutral,-0.4,-0.7,-1.4
18,2011,JJA,-0.3,6,2011-06-01,Neutral,-0.3,-0.5,-1.3
19,2011,JAS,-0.6,7,2011-07-01,La Nina,-0.3,-0.4,-1.0
20,2011,ASO,-0.8,8,2011-08-01,La Nina,-0.6,-0.3,-0.7
21,2011,SON,-0.9,9,2011-09-01,La Nina,-0.8,-0.3,-0.5
22,2011,OND,-1.0,10,2011-10-01,La Nina,-0.9,-0.6,-0.4
23,2011,NDJ,-0.9,11,2011-11-01,La Nina,-1.0,-0.8,-0.3
24,2012,JFM,-0.5,1,2012-01-01,La Nina,-0.9,-0.9,-0.3
25,2012,DJF,-0.7,1,2012-01-01,La Nina,-0.5,-1.0,-0.6
26,2012,FMA,-0.4,2,2012-02-01,Neutral,-0.7,-0.9,-0.8
27,2012,MAM,-0.4,3,2012-03-01,Neutral,-0.4,-0.5,-0.9
28,2012,AMJ,-0.3,4,2012-04-01,Neutral,-0.4,-0.7,-1.0
29,2012,MJJ,-0.1,5,2012-05-01,Neutral,-0.3,-0.4,-0.9
30,2012,JJA,0.1,6,2012-06-01,Neutral,-0.1,-0.4,-0.5
31,2012,JAS,0.3,7,2012-07-01,Neutral,0.1,-0.3,-0.7
32,2012,ASO,0.3,8,2012-08-01,Neutral,0.3,-0.1,-0.4
33,2012,SON,0.3,9,2012-09-01,Neutral,0.3,0.1,-0.4
34,2012,OND,0.1,10,2012-10-01,Neutral,0.3,0.3,-0.3
35,2012,NDJ,-0.2,11,2012-11-01,Neutral,0.1,0.3,-0.1
36,2013,DJF,-0.4,1,2013-01-01,Neutral,-0.2,0.3,0.1
37,2013,JFM,-0.4,1,2013-01-01,Neutral,-0.4,0.1,0.3
38,2013,FMA,-0.3,2,2013-02-01,Neutral,-0.4,-0.2,0.3
39,2013,MAM,-0.2,3,2013-03-01,Neutral,-0.3,-0.4,0.3
40,2013,AMJ,-0.2,4,2013-04-01,Neutral,-0.2,-0.4,0.1
41,2013,MJJ,-0.2,5,2013-05-01,Neutral,-0.2,-0.3,-0.2
42,2013,JJA,-0.3,6,2013-06-01,Neutral,-0.2,-0.2,-0.4
43,2013,JAS,-0.3,7,2013-07-01,Neutral,-0.3,-0.2,-0.4
44,2013,ASO,-0.2,8,2013-08-01,Neutral,-0.3,-0.2,-0.3
45,2013,SON,-0.3,9,2013-09-01,Neutral,-0.2,-0.3,-0.2
46,2013,OND,-0.3,10,2013-10-01,Neutral,-0.3,-0.3,-0.2
47,2013,NDJ,-0.3,11,2013-11-01,Neutral,-0.3,-0.2,-0.2
48,2014,DJF,-0.5,1,2014-01-01,La Nina,-0.3,-0.3,-0.3
49,2014,JFM,-0.5,1,2014-01-01,La Nina,-0.5,-0.3,-0.3
50,2014,FMA,-0.4,2,2014-02-01,Neutral,-0.5,-0.3,-0.2
51,2014,MAM,-0.2,3,2014-03-01,Neutral,-0.4,-0.5,-0.3
52,2014,AMJ,-0.1,4,2014-04-01,Neutral,-0.2,-0.5,-0.3
