COUNTRY,COUNTERPART_COUNTRY,TRADE_FLOW,commodity_group,date,trade_value_usd,ISO3_COUNTRY,Region_COUNTRY,ISO3_COUNTERPART,Region_COUNTERPART
India,Qatar,Trade balance goods,Other,2010-M01,,IND,Asia,QAT,Asia
India,Qatar,Exports of goods,Other,2010-M01,22.638913,IND,Asia,QAT,Asia
India,Saudi Arabia,Exports of goods,Other,2010-M01,263.895495,IND,Asia,SAU,Asia
India,Saudi Arabia,Trade balance goods,Other,2010-M01,,IND,Asia,SAU,Asia
India,Saudi Arabia,Trade balance goods,Other,2010-M01,-1640.462379,IND,Asia,SAU,Asia
India,Qatar,Imports of goods,Other,2010-M01,487.603328,IND,Asia,QAT,Asia
India,United States,Trade balance goods,Other,2010-M01,491.75711,IND,Asia,USA,North America
India,Italy,Exports of goods,Other,2010-M01,,IND,Asia,ITA,Europe
India,France,Trade balance goods,Other,2010-M01,,IND,Asia,FRA,Europe
India,France,Exports of goods,Other,2010-M01,,IND,Asia,FRA,Europe
India,Italy,Exports of goods,Other,2010-M01,331.029193,IND,Asia,ITA,Europe
India,Germany,Imports of goods,Other,2010-M01,827.660868,IND,Asia,DEU,Europe
India,Saudi Arabia,Imports of goods,Other,2010-M01,1904.357874,IND,Asia,SAU,Asia
India,Germany,Exports of goods,Other,2010-M01,452.12486,IND,Asia,DEU,Europe
India,France,Imports of goods,Other,2010-M01,278.670699,IND,Asia,FRA,Europe
India,Qatar,Imports of goods,Other,2010-M01,,IND,Asia,QAT,Asia
India,Saudi Arabia,Imports of goods,Other,2010-M01,,IND,Asia,SAU,Asia
India,France,Exports of goods,Other,2010-M01,497.786158,IND,Asia,FRA,Europe
India,Italy,Imports of goods,Other,2010-M01,,IND,Asia,ITA,Europe
India,France,Imports of goods,Other,2010-M01,,IND,Asia,FRA,Europe
India,Italy,Trade balance goods,Other,2010-M01,1.482358,IND,Asia,ITA,Europe
India,Germany,Trade balance goods,Other,2010-M01,-375.536008,IND,Asia,DEU,Europe
India,United States,Imports of goods,Other,2010-M01,,IND,Asia,USA,North America
India,United States,Imports of goods,Other,2010-M01,1135.850024,IND,Asia,USA,North America
India,United States,Trade balance goods,Other,2010-M01,,IND,Asia,USA,North America
India,Germany,Exports of goods,Other,2010-M01,,IND,Asia,DEU,Europe
India,Germany,Imports of goods,Other,2010-M01,,IND,Asia,DEU,Europe
India,United States,Exports of goods,Other,2010-M01,,IND,Asia,USA,North America
India,Saudi Arabia,Exports of goods,Other,2010-M01,,IND,Asia,SAU,Asia
India,United States,Exports of goods,Other,2010-M01,1627.607134,IND,Asia,USA,North America
