column_name,dtype,non_null_count,null_count,null_percentage
sector_name,object,3476,0,0.0
date,datetime64[ns],3476,0,0.0
iip_index,float64,3476,0,0.0
iip_mom_growth,float64,3454,22,0.63
iip_yoy_growth,float64,3190,286,8.23
is_energy_intensive,bool,3476,0,0.0
io_sector_name,object,3476,0,0.0
sector_id,float64,3476,0,0.0
backward_linkage,float64,3476,0,0.0
forward_linkage,float64,3476,0,0.0
is_key_sector,object,3476,0,0.0
degree_centrality,float64,3476,0,0.0
betweenness_centrality,float64,3476,0,0.0
closeness_centrality,float64,3476,0,0.0
eigenvector_centrality,float64,3476,0,0.0
pagerank,float64,3476,0,0.0
5,int64,3476,0,0.0
CRUDE_PETRO,float64,3476,0,0.0
WHEAT_US_HRW,float64,3476,0,0.0
RICE_05,float64,3476,0,0.0
COPPER,float64,3476,0,0.0
ALUMINUM,float64,3476,0,0.0
CRUDE_PETRO_logret,float64,3476,0,0.0
WHEAT_US_HRW_logret,float64,3476,0,0.0
RICE_05_logret,float64,3476,0,0.0
COPPER_logret,float64,3476,0,0.0
ALUMINUM_logret,float64,3476,0,0.0
CRUDE_PETRO_vol_3m,float64,3476,0,0.0
CRUDE_PETRO_vol_6m,float64,3476,0,0.0
CRUDE_PETRO_vol_12m,float64,3476,0,0.0
WHEAT_US_HRW_vol_3m,float64,3476,0,0.0
WHEAT_US_HRW_vol_6m,float64,3476,0,0.0
WHEAT_US_HRW_vol_12m,float64,3476,0,0.0
RICE_05_vol_3m,float64,3476,0,0.0
RICE_05_vol_6m,float64,3476,0,0.0
RICE_05_vol_12m,float64,3476,0,0.0
COPPER_vol_3m,float64,3476,0,0.0
COPPER_vol_6m,float64,3476,0,0.0
COPPER_vol_12m,float64,3476,0,0.0
ALUMINUM_vol_3m,float64,3476,0,0.0
ALUMINUM_vol_6m,float64,3476,0,0.0
ALUMINUM_vol_12m,float64,3476,0,0.0
CRUDE_PETRO_shock,int64,3476,0,0.0
WHEAT_US_HRW_shock,int64,3476,0,0.0
RICE_05_shock,int64,3476,0,0.0
COPPER_shock,int64,3476,0,0.0
ALUMINUM_shock,int64,3476,0,0.0
Year,float64,1496,1980,56.96
Month,object,1496,1980,56.96
ONI,float64,1408,2068,59.49
Month_num,float64,1496,1980,56.96
ENSO_Phase,object,1496,1980,56.96
ONI_lag_1m,float64,1430,2046,58.86
ONI_lag_3m,float64,1474,2002,57.59
ONI_lag_6m,float64,1496,1980,56.96
wpi_(a)__food_articles,float64,3476,0,0.0
wpi_ii_fuel_and_power,float64,3476,0,0.0
wpi_iii___manufactured_products,float64,3476,0,0.0
gdp_constant,float64,3300,176,5.06
gdp_current,float64,3300,176,5.06
gdp_growth_yoy,float64,2442,1034,29.75
ARG,float64,88,3388,97.47
AUS,float64,22,3454,99.37
BRA,float64,88,3388,97.47
CAN,float64,88,3388,97.47
CHN,float64,88,3388,97.47
DEU,float64,88,3388,97.47
EA20,float64,88,3388,97.47
EU27_2020,float64,88,3388,97.47
FRA,float64,88,3388,97.47
GBR,float64,88,3388,97.47
IDN,float64,88,3388,97.47
IND,float64,88,3388,97.47
ITA,float64,88,3388,97.47
KOR,float64,88,3388,97.47
SAU,float64,88,3388,97.47
TUR,float64,88,3388,97.47
USA,float64,88,3388,97.47
ZAF,float64,66,3410,98.1
g20_avg_cpi_growth,float64,88,3388,97.47
energy_trade_value,float64,0,3476,100.0
total_trade_value,float64,0,3476,100.0
oil_shock_x_pagerank,float64,3476,0,0.0
oil_shock_x_betweenness,float64,3476,0,0.0
CRUDE_PETRO_lag1,float64,3454,22,0.63
WHEAT_US_HRW_lag1,float64,3454,22,0.63
RICE_05_lag1,float64,3454,22,0.63
COPPER_lag1,float64,3454,22,0.63
ALUMINUM_lag1,float64,3454,22,0.63
iip_yoy_growth_lag1,float64,3168,308,8.86
year,int32,3476,0,0.0
month,int32,3476,0,0.0
quarter,int32,3476,0,0.0
