COUNTRY,COUNTERPART_COUNTRY,TRADE_FLOW,commodity_group,date,trade_value_usd
India,Qatar,Trade balance goods,Other,2010-M01,""
India,Qatar,Exports of goods,Other,2010-M01,22.638913
India,Saudi Arabia,Exports of goods,Other,2010-M01,263.895495
India,Saudi Arabia,Trade balance goods,Other,2010-M01,""
India,Saudi Arabia,Trade balance goods,Other,2010-M01,-1640.462379
India,Qatar,Imports of goods,Other,2010-M01,487.603328
India,United States,Trade balance goods,Other,2010-M01,491.75711
India,Italy,Exports of goods,Other,2010-M01,""
India,France,Trade balance goods,Other,2010-M01,""
India,France,Exports of goods,Other,2010-M01,""
India,Italy,Exports of goods,Other,2010-M01,331.029193
India,Germany,Imports of goods,Other,2010-M01,827.660868
India,Saudi Arabia,Imports of goods,Other,2010-M01,1904.357874
India,Germany,Exports of goods,Other,2010-M01,452.12486
India,France,Imports of goods,Other,2010-M01,278.670699
India,Qatar,Imports of goods,Other,2010-M01,""
India,Saudi Arabia,Imports of goods,Other,2010-M01,""
India,France,Exports of goods,Other,2010-M01,497.786158
India,Italy,Imports of goods,Other,2010-M01,""
India,France,Imports of goods,Other,2010-M01,""
India,Italy,Trade balance goods,Other,2010-M01,1.482358
India,Germany,Trade balance goods,Other,2010-M01,-375.536008
India,United States,Imports of goods,Other,2010-M01,""
India,United States,Imports of goods,Other,2010-M01,1135.850024
India,United States,Trade balance goods,Other,2010-M01,""
India,Germany,Exports of goods,Other,2010-M01,""
India,Germany,Imports of goods,Other,2010-M01,""
India,United States,Exports of goods,Other,2010-M01,""
India,Saudi Arabia,Exports of goods,Other,2010-M01,""
India,United States,Exports of goods,Other,2010-M01,1627.607134
India,Italy,Imports of goods,Other,2010-M01,329.546835
India,Qatar,Trade balance goods,Other,2010-M01,-464.964415
India,Qatar,Exports of goods,Other,2010-M01,""
India,Italy,Trade balance goods,Other,2010-M01,""
India,Germany,Trade balance goods,Other,2010-M01,""
India,United States,Trade balance goods,Other,2010-M01,""
India,France,Trade balance goods,Other,2010-M01,""
India,France,Trade balance goods,Other,2010-M01,219.115459
India,Saudi Arabia,Imports of goods,Other,2010-M01,""
India,Germany,Exports of goods,Other,2010-M01,""
India,France,Imports of goods,Other,2010-M01,""
India,Italy,Imports of goods,Other,2010-M01,""
India,Germany,Trade balance goods,Other,2010-M01,""
India,Italy,Trade balance goods,Other,2010-M01,""
India,United States,Exports of goods,Other,2010-M01,""
India,Germany,Imports of goods,Other,2010-M01,""
India,Italy,Exports of goods,Other,2010-M01,""
India,France,Exports of goods,Other,2010-M01,""
India,Saudi Arabia,Exports of goods,Other,2010-M01,""
India,Qatar,Trade balance goods,Other,2010-M01,""
India,Saudi Arabia,Trade balance goods,Other,2010-M01,""
India,Qatar,Imports of goods,Other,2010-M01,""
India,Qatar,Exports of goods,Other,2010-M01,""
India,United States,Imports of goods,Other,2010-M01,""
India,Qatar,Trade balance goods,Other,2010-M02,""
India,Qatar,Exports of goods,Other,2010-M02,27.563897
India,Saudi Arabia,Exports of goods,Other,2010-M02,256.477838
India,Saudi Arabia,Trade balance goods,Other,2010-M02,""
India,Saudi Arabia,Trade balance goods,Other,2010-M02,-1201.508399
India,Qatar,Imports of goods,Other,2010-M02,453.408532
India,United States,Trade balance goods,Other,2010-M02,728.573026
India,Italy,Exports of goods,Other,2010-M02,""
India,France,Trade balance goods,Other,2010-M02,""
India,France,Exports of goods,Other,2010-M02,""
India,Italy,Exports of goods,Other,2010-M02,315.450805
India,Germany,Imports of goods,Other,2010-M02,867.480273
India,Saudi Arabia,Imports of goods,Other,2010-M02,1457.986237
India,Germany,Exports of goods,Other,2010-M02,477.865286
India,France,Imports of goods,Other,2010-M02,314.173334
India,Qatar,Imports of goods,Other,2010-M02,""
India,Saudi Arabia,Imports of goods,Other,2010-M02,""
India,France,Exports of goods,Other,2010-M02,368.515201
India,Italy,Imports of goods,Other,2010-M02,""
India,France,Imports of goods,Other,2010-M02,""
India,Italy,Trade balance goods,Other,2010-M02,-82.237266
India,Germany,Trade balance goods,Other,2010-M02,-389.614987
India,United States,Imports of goods,Other,2010-M02,""
India,United States,Imports of goods,Other,2010-M02,1131.451736
India,United States,Trade balance goods,Other,2010-M02,""
India,Germany,Exports of goods,Other,2010-M02,""
India,Germany,Imports of goods,Other,2010-M02,""
India,United States,Exports of goods,Other,2010-M02,""
India,Saudi Arabia,Exports of goods,Other,2010-M02,""
India,United States,Exports of goods,Other,2010-M02,1860.024762
India,Italy,Imports of goods,Other,2010-M02,397.688071
India,Qatar,Trade balance goods,Other,2010-M02,-425.844635
India,Qatar,Exports of goods,Other,2010-M02,""
India,Italy,Trade balance goods,Other,2010-M02,""
India,Germany,Trade balance goods,Other,2010-M02,""
India,United States,Trade balance goods,Other,2010-M02,""
