source_sector,target_sector,input_coefficient,input_value
Paddy,Paddy,0.045751461761518265,1043496.0
Paddy,Gram,0.00528129044987692,17773.0
Paddy,Pulses,0.008828702971629751,54046.0
Paddy,Other crops,0.007219148942683003,264143.0
Paddy,Poultry & Eggs,0.08289922465631586,857493.0
Paddy,"Edible oils other than
 vanaspati",0.013876903445234644,98591.0
Paddy,"Miscellaneous food
 products",0.017339804270937405,731096.0
Paddy,"Grain Mill products, starch and starch products",0.47792485163156656,13269746.0
Paddy,Beverages,0.004787056501471897,32284.0
Paddy,Other chemicals,0.0020524229337210093,23300.0
Paddy,Trade,0.003833280581431048,823187.0
Paddy,Hotels & Restaurant,0.009595929516551471,356400.0
Paddy,"Public administration and
 defence",0.011393479967619505,1120330.0
Wheat,Paddy,0.004301443090378183,98107.0
Wheat,Wheat,0.035329354037003206,515592.0
Wheat,Pulses,0.010159722322050488,62194.0
Wheat,Vegetables,0.0015039628315934657,37576.0
Wheat,Other crops,0.004306897420267217,157586.0
Wheat,Milk and milk products,0.0010061575278586675,56423.0
Wheat,Other liv.st. produ.,0.0074690830808110354,127678.0
Wheat,Animal Services,0.00918528883078683,53961.0
Wheat,Sugar,0.0011732996614012233,6326.0
Wheat,"Edible oils other than
 vanaspati",0.00282095626222873,20042.0
Wheat,"Miscellaneous food
 products",0.025129121294503756,1059516.0
Wheat,"Grain Mill products, starch and starch products",0.07148423177962164,1984784.0
Wheat,Beverages,0.0011064618886749873,7462.0
Wheat,"Soaps, cosmetics &
 glycerin",0.0013042422412904925,11026.0
Wheat,Other chemicals,0.0032414188461401586,36798.0
Wheat,Trade,0.0010147690269949265,217919.0
Wheat,Hotels & Restaurant,0.006126505583570907,227543.0
Wheat,"Public administration and
 defence",0.029717280851981272,2922124.0
Jowar,Jowar,0.006416715243606569,9852.0
Jowar,Poultry & Eggs,0.037593340938533226,388858.0
Jowar,"Miscellaneous food
 products",0.001546929615212435,65223.0
Jowar,Beverages,0.008373345330136228,56470.0
Bajra,Bajra,0.0010274491351443683,1594.0
Bajra,Poultry & Eggs,0.042402598658133374,438604.0
Bajra,"Miscellaneous food
 products",0.001684491392012523,71023.0
Bajra,"Grain Mill products, starch and starch products",0.008769530645041624,243489.0
Bajra,Beverages,0.011618294669691767,78354.0
Maize,Maize,0.00299159965064541,8046.0
Maize,Poultry & Eggs,0.046195692105415805,477839.0
Maize,"Miscellaneous food
 products",0.003574353029768487,150705.0
Maize,"Grain Mill products, starch and starch products",0.008769530645041624,243489.0
Maize,Beverages,0.0015109684596084324,10190.0
Gram,Wheat,0.002102183999172255,30679.0
Gram,Gram,0.01103148746194963,37124.0
Gram,Milk and milk products,0.0037842493540212953,212212.0
Gram,Other liv.st. produ.,0.015234757988089527,260426.0
Gram,Animal Services,0.013407277283002424,78764.0
Gram,"Miscellaneous food
 products",0.0014519882716726505,61220.0
Gram,"Grain Mill products, starch and starch products",0.001543363056242063,42852.0
Gram,Fertilizers,0.002287168036182234,2573.0
Pulses,Paddy,0.0012317208837085457,28093.0
Pulses,Pulses,0.01515888594268449,92797.0
Pulses,Milk and milk products,0.0064988043375530736,364438.0
Pulses,Other liv.st. produ.,0.00389038387289256,66503.0
Pulses,Animal Services,0.013488132200343166,79239.0
Pulses,"Miscellaneous food
 products",0.011435273329914054,482144.0
Pulses,"Grain Mill products, starch and starch products",0.0691371328426016,1919616.0
Pulses,Other chemicals,0.0025885193274817844,29386.0
Pulses,Trade,0.0014254655202095821,306115.0
Pulses,Hotels & Restaurant,0.014014768900184778,520519.0
Pulses,"Public administration and
 defence",0.0031863973444739594,313321.0
Sugarcane,Sugarcane,0.023777099971059888,178040.0
Sugarcane,Milk and milk products,0.0035240746321621606,197622.0
Sugarcane,Sugar,0.5074734329049163,2736110.0
Sugarcane,"Khandsari, boora",0.5107789943523928,1077522.0
Sugarcane,"Hydrogenated
 oil(vanaspati)",0.006297758915452723,8071.0
Sugarcane,"Edible oils other than
 vanaspati",0.0014742388928541922,10474.0
Sugarcane,"Miscellaneous food
 products",0.015269380942357465,643801.0
Sugarcane,Beverages,0.06048796718989077,407932.0
Sugarcane,Tobacco Products,0.04475845871871078,274240.0
Sugarcane,Organic heavy chemicals,0.010538973597510853,328678.0
Sugarcane,"Soaps, cosmetics &
 glycerin",0.001427143355810792,12065.0
Sugarcane,Other chemicals,0.0028904809505202233,32814.0
Sugarcane,Drugs and medicine,0.0014619330338140049,33682.0
Sugarcane,Electricity,0.006502995242593555,444517.0
Sugarcane,Trade,0.003357512284549768,721017.0
Sugarcane,Hotels & Restaurant,0.0024242645840089165,90039.0
Groundnut,Groundnut,0.004828409979924831,14621.0
Groundnut,"Hydrogenated
 oil(vanaspati)",0.014266909182274513,18284.0
Groundnut,"Edible oils other than
 vanaspati",0.03189459684548909,226601.0
Groundnut,"Miscellaneous food
 products",0.0317523413666644,1338770.0
Groundnut,"Soaps, cosmetics &
 glycerin",0.001990193697597727,16825.0
Groundnut,Electricity,0.001036782109216532,70870.0
Groundnut,Trade,0.001926677665325758,413749.0
Coconut,Coconut,0.04852840850835614,98449.0
