sector_name,Paddy,Wheat,Jowar,Bajra,Maize,Gram,Pulses,Sugarcane,Groundnut,Coconut,"Other
 oilseeds",Jute,Cotton,Tea,Coffee,Rubber,Tobacco,Fruits,Vegetables,Other crops,"Milk and
 milk","Poultry &
 Eggs","Other liv.st.
 produ.","Animal
 Services","Forestry and
 Logging","Fishing &
 Aquaculture","Coal and
 Lignite","Crude
 petroleum",Natural Gas,Iron ore,"Manganese
 ore",Bauxite,Copper ore,"Other
 Metallic",Lime stone,Mica,"Other non
 metallic",Sugar,"Khandsari,
 boora","Hydrogenate
 d","Edible oils
 other than","Tea and
 coffee","Miscellaneou
 s food","Grain Mill
 products,",Beverages,"Tobacco
 Products","Khadi,
 cotton","Cotton
 textiles","Woolen
 textiles",Silk textiles,"Art silk,
 synthetic","Jute, hemp,
 mesta","Carpet
 weaving","Miscellaneou
 s textile","Ready made
 garments","Wood and
 wood","Paper, Paper
 products and","Publishing,
 printing and","Furniture &
 Fixtures","Leather
 footwear","Leather and
 leather","Rubber
 products","Plastic
 products","Petroleum
 products","Coal tar
 products","Inorganic
 heavy","Organic
 heavy",Fertilizers,Pesticides,"Paints,
 varnishes","Soaps,
 cosmetics &","Synthetic
 fibers, resin","Other
 chemicals","Drugs and
 medicine","Structural
 clay products",Cement,"Other non-
 metallic","Iron, steel
 and ferro","Iron and
 steel casting","Iron and
 steel","Non ferrous
 basic metals","Hand tools,
 hardware","Miscellaneou
 s metal","Tractors and
 agri.","Industrial
 machinery(F","Industrial
 machinery(o","Machine
 tools","Other non-
 electrical","Electrical
 industrial","Electrical
 wires &",Batteries,"Other
 electrical","Electrical
 appliances","Electronic
 equipments(i","Watches and
 clocks","Communicati
 on","Ships and
 boats","Rail
 equipments","Motor
 vehicles","Motor cycles
 and scooters","Bicycles,
 cycle-","Other
 transport","Aircraft &
 spacecraft","Medical,
 precision&o","Jems &
 jewelry","Miscellaneou
 s","Construction
 and",Electricity,"Water
 Supply","Railway
 Transport","Land
 transport","Water
 Transport",Air transport,"Supportive
 and Auxiliary","Storage and
 warehousing","Communicati
 on services",Trade,"Hotels &
 Restaurant","Financial
 services","Insurance
 services","Ownership
 of dwellings","Education
 and research","Medical and
 Health","Legal
 services","Computer
 related","Other
 Business","Real estate
 services","Renting of
 machinery &","Community,
 social and","Other
 services","Public
 administrati"
Paddy,0.045751461761518265,0.0008702969123337401,2.2795882412325407e-05,6.445728576815359e-07,1.78469777816281e-05,0.00528129044987692,0.008828702971629751,0.0,0.00017106329044532266,0.0,5.3336631337889755e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001709048672265302,0.007219148942683003,0.0,0.08289922465631586,5.264943665102783e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011592037438756948,0.00041525128865368515,0.0002528154985264134,0.013876903445234644,0.00026569678221132685,0.017339804270937405,0.47792485163156656,0.004787056501471897,1.6320908225900954e-07,0.0,0.0,0.0,0.0,0.0,7.040928275983906e-06,0.0,0.0,6.194953194650633e-08,8.143824280160586e-07,5.26338946655959e-06,8.550740507919502e-06,9.658230242792215e-07,0.0,0.0,0.0,5.035643889701637e-07,0.0,0.0,8.473820822736688e-05,0.0002964064279793303,5.333466077377926e-06,2.98882627297847e-07,1.6524216900836852e-07,0.00016122638988562863,1.0650646957573467e-07,0.0020524229337210093,5.2301802320107954e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.258931183123296e-06,0.0,0.0,2.1054168962551082e-05,0.0,8.630076351148487e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012512928654244402,9.988490325721958e-07,0.00010645778762196563,0.0,0.0,1.2285176928884462e-07,0.0,0.0,0.0,0.0,0.0,0.003833280581431048,0.009595929516551471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011393479967619505
Wheat,0.004301443090378183,0.035329354037003206,1.0420974817063044e-05,6.445728576815359e-07,2.7885902783793903e-05,1.3074707691137368e-05,0.010159722322050488,0.0,1.981428074656247e-06,0.0,1.768746900408169e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015039628315934657,0.004306897420267217,0.0010061575278586675,0.0,0.0074690830808110354,0.00918528883078683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011732996614012233,0.0004967846466998426,0.0004010715007486928,0.00282095626222873,0.0004176972297006442,0.025129121294503756,0.07148423177962164,0.0011064618886749873,3.264181645180191e-07,0.0,0.0,1.923436951019037e-06,0.0,6.656437497283341e-07,1.2801687774516193e-05,6.902013953002069e-05,2.829276584533522e-06,9.664126983654988e-06,0.0,1.4803282874698846e-06,1.103321355860581e-06,7.485128438163966e-06,0.0,0.0,1.693629244234886e-07,4.1200722733922483e-07,0.0,0.0,0.00014404446658451535,0.00041113405663684263,1.1555843167652172e-05,0.00012553070346509574,1.107122532356069e-05,0.0013042422412904925,8.520517566058773e-07,0.0032414188461401586,8.407351958012374e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4586696053859047e-05,0.0,0.0,3.31935096256436e-05,0.0,2.5890229053445457e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0540371998461115e-07,1.1032384627320807e-07,0.00019735303263448628,1.5558280470176583e-06,0.0001618006226602913,0.0,0.0,7.873681577148677e-06,0.0,0.0,0.0,0.0,0.0,0.0010147690269949265,0.006126505583570907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029717280851981272
Jowar,1.7537762199957936e-06,9.456025029687121e-06,0.006416715243606569,0.0,1.8590601855862603e-06,0.0,1.5682113112468194e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011782160076892602,0.0,0.037593340938533226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2983081931407782e-05,4.1714741325940976e-05,1.4045305473689631e-05,6.0664212604559555e-05,2.766408144305577e-05,0.001546929615212435,0.0,0.008373345330136228,0.0,0.0,0.0,0.0,0.0,0.0,6.400843887258096e-07,0.0,0.0,0.0,0.0,8.224046041499359e-08,0.0,0.0,0.0,0.0,0.0,1.3733574244640828e-07,0.0,0.0,1.6203036102881414e-05,0.00034639535281920223,8.88911012896321e-07,6.575417800552634e-06,4.296296394217582e-06,2.188325908205524e-05,5.325323478786734e-06,0.0002867226029726131,5.425498165986302e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.827915780968863e-07,0.0,0.0,2.2761263743298468e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2951978782463504e-05,1.411013503261838e-07,1.1074418748086847e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.462452372529417e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.904872125519166e-05
Bajra,1.8853094364954782e-06,1.0278288075746872e-05,0.0,0.0010274491351443683,1.8590601855862603e-06,0.0,1.6988955871840543e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1563730690485416e-05,0.0003949876688951223,0.042402598658133374,0.0007039814673982989,0.0001169417436065038,0.0,0.00021985598782336068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4837807921608894e-05,4.835117744597704e-05,1.4825600222227944e-05,6.587204524114588e-05,3.0096088602884847e-05,0.001684491392012523,0.008769530645041624,0.011618294669691767,0.0,0.0,0.0,0.0,0.0,0.0,6.400843887258096e-07,0.0,0.0,0.0,0.0,8.224046041499359e-08,0.0,0.0,0.0,0.0,2.286399479717096e-06,0.0,0.0,0.0,0.00025867177053564406,0.0005319539853069115,0.0008666882375739129,2.9589380102486853e-05,1.8176638590920537e-06,2.495874414223598e-05,1.480439927102712e-05,0.000275799837145085,6.510597799183562e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0345174506283013e-06,2.05158658516024e-06,0.0,2.465803572190667e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4159366635066034e-05,1.6709370433363872e-07,1.255198320456871e-05,0.0,0.0,3.975929987893516e-06,0.0,0.0,0.0,0.0,0.0,6.0932056031041865e-05,7.808135689674317e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015238358683138955
Maize,4.07752971149022e-06,2.2064058402603284e-05,6.513109260664403e-07,0.0,0.00299159965064541,2.971524475258493e-07,3.757172933195505e-05,0.0,3.302380124427078e-07,0.0,1.9195702795127417e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.002455906944501e-08,5.3759009211894564e-05,8.59165051348397e-05,0.046195692105415805,0.0008602332955037381,0.0,0.0,0.00021985598782336068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4667855669674783e-05,7.726707768327704e-05,0.0002356490140585705,0.00040635169788715415,6.414418884049195e-05,0.003574353029768487,0.008769530645041624,0.0015109684596084324,0.0,0.0,1.127287054066378e-07,0.0,0.0,2.6625749989133365e-07,1.0241350219612954e-05,0.0,1.4712238239574313e-06,1.0531420430906076e-06,1.3573040466934309e-07,4.1120230207496794e-07,0.0,0.0,0.0,0.0,8.46814622117443e-08,3.93695795013037e-06,0.0,0.0,4.0586245772266065e-05,0.0001550971324249265,8.88911012896321e-07,1.7335192383275125e-05,4.626780732234318e-06,5.500386742246318e-05,3.7277264351507136e-06,0.0005686885176009801,0.00010989889085021853,0.0,0.0,7.620664070763657e-08,0.0,0.0,0.0,0.0,0.0,2.2759383913822627e-06,0.0,0.0,5.1212843422421554e-06,7.697935080234294e-07,4.3150381755742434e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.902670679707612e-06,0.0,3.2489709488213534e-05,2.822027006523676e-07,2.7049670099356115e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.275990641842026e-05,8.077381747938948e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002634169558266586
Gram,2.5692821622938377e-05,0.002102183999172255,4.559176482465082e-06,0.0,1.4872481484690082e-06,0.01103148746194963,0.0004276642930046014,0.0,9.907140373281235e-07,0.0,1.357410411941153e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3648374642680748e-05,0.000751450919309121,0.0037842493540212953,0.0,0.015234757988089527,0.013407277283002424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.918127943450146e-05,2.79678379344377e-05,0.00038312472153231164,0.00019930516252449266,2.3712069808333514e-05,0.0014519882716726505,0.001543363056242063,8.911600041458958e-05,0.0,0.0,0.0,0.0,0.0,0.0,6.400843887258096e-07,0.0,0.0,0.0,0.0,8.224046041499359e-08,0.0,0.0,0.0,0.0,6.09706527924559e-06,5.951215506011025e-07,0.0,0.0,0.0006847224771243544,0.00022224069151068133,0.002287168036182234,0.00016169550136813522,2.115099763307117e-05,0.0006074082993856955,6.57144917282283e-05,0.0004073134611813711,4.991458312707398e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.793398330340561e-07,5.5952361413461095e-06,0.0,2.465803572190667e-06,0.0,1.7260152702296974e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1415303333696648e-05,9.28298357409104e-08,1.145478187549802e-05,0.0,0.0,0.0003809856732500324,0.0,0.0,0.0,0.0,0.0,6.580289520631659e-05,6.574988742822304e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006517286547043246
Pulses,0.0012317208837085457,0.0008388453508219547,3.907865556398641e-06,0.0,1.2269797224869317e-05,0.0002611970013752215,0.01515888594268449,0.0,1.3209520497708313e-06,0.0,1.2751431142477499e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6009823627778005e-05,0.0006359797378550008,0.0064988043375530736,0.0,0.00389038387289256,0.013488132200343166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.494645035121091e-05,0.00021615820505260325,0.0009332325192518222,0.0007886347638592742,0.00018179253519722363,0.011435273329914054,0.0691371328426016,0.0006746718833384069,2.937763480662172e-06,0.0,0.0,0.0,0.0,1.3312874994566683e-07,5.120675109806477e-06,0.0,2.2634212676268176e-07,2.477981277860253e-07,1.3573040466934309e-07,4.934427624899616e-07,0.0,0.0,0.0,0.0,5.080887732704659e-07,4.9440867280706976e-06,8.830331779936688e-09,0.0,0.00020188248866049658,0.0002880054669093839,3.82231735545418e-05,0.000189491585706835,8.55954435463349e-05,0.00013543963053488245,0.00014857652505814988,0.0025885193274817844,4.9220119361827733e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.569185811489713e-06,1.8650787137820365e-07,0.0,1.8019333796777953e-05,5.131956720156196e-07,3.883534358016819e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.216148799384446e-07,0.0,8.583430006683441e-05,6.943671713420098e-07,7.379044671776758e-05,0.0,0.0,0.00014666267584555523,0.0,0.0,0.0,0.0,0.0,0.0014254655202095821,0.014014768900184778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031863973444739594
Sugarcane,2.0343804151951206e-05,0.00020625098071998723,2.605243704265761e-06,6.445728576815359e-07,1.7475165744510847e-05,1.1886097901033972e-06,0.00015747455250436813,0.023777099971059888,5.614046211526033e-06,0.0,5.7038659734092896e-05,0.0,4.813250686610211e-07,0.0,0.0,0.0,0.0,0.0,5.603438269722301e-07,0.00015138340214778038,0.0035240746321621606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5074734329049163,0.5107789943523928,0.006297758915452723,0.0014742388928541922,0.0002617447705766046,0.015269380942357465,0.0,0.06048796718989077,0.04475845871871078,0.0,1.8036592865062048e-06,0.0,0.0,0.0,0.00012929704652261354,0.0,1.8786396521302585e-05,1.1027016686478127e-05,0.0,4.934427624899616e-07,0.0,0.0,0.0,0.0,9.314960843291874e-07,1.4786481603396625e-05,0.0,0.0,0.00045468131407147165,0.010538973597510853,0.0003235636086942608,0.0002938016226337836,2.825641090043102e-05,0.001427143355810792,5.112310539635264e-06,0.0028904809505202233,0.0014619330338140049,0.0,0.0,9.906863291992755e-07,0.0,0.0,0.0,0.0,0.0,9.052027692997635e-06,5.595236141346109e-07,0.0,2.086449176469026e-05,0.0,1.7260152702296974e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.669142671575268e-05,0.0,0.00016563166087065617,2.1744460723950853e-05,0.006502995242593555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003357512284549768,0.0024242645840089165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Groundnut,5.261328659987381e-07,2.946442581714103e-06,0.0,0.0,7.436240742345041e-07,0.0,4.982338020107083e-05,0.0,0.004828409979924831,8.872729567089666e-06,0.0006799392154359776,0.0,5.134134065717558e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.00017122531403788484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.338506782362001e-06,1.0428685331485244e-05,0.014266909182274513,0.03189459684548909,8.512025059401774e-06,0.0317523413666644,0.0005107446910428613,2.1500532545949234e-05,0.0,0.0,0.0,0.0,0.0,0.0,5.120675109806477e-06,0.0,0.0,0.0,0.0,8.224046041499359e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0067905928003985e-05,1.8597547406751575e-05,8.88911012896321e-07,3.2279323748167476e-05,1.0410256647527217e-05,0.001990193697597727,2.8756746785448363e-06,7.293588794510711e-05,2.387219193033973e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1035523518849036e-07,0.0,0.0,7.587087914432823e-07,0.0,8.630076351148487e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.911556644546223e-05,6.6391898521899115e-06,0.001036782109216532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001926677665325758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coconut,1.3153321649968452e-07,6.852192050497915e-07,0.0,0.0,0.0,0.0,4.083883623038592e-06,0.0,4.293094161755202e-06,0.04852840850835614,4.4561452917260075e-05,0.0,3.2088337910734737e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.418903960804447e-07,2.3701557571557373e-06,0.004808176240493084,0.03201662903186532,1.824005369871809e-06,0.00015302561791623556,0.0,6.9691381355835446e-06,7.3444087016554295e-06,0.0,9.018296432531024e-07,0.0,0.0,4.586285435628222e-05,0.0017051848115655567,0.00027608055812008276,5.2058689155416805e-06,0.000313092934457643,6.786520233467155e-07,9.868855249799231e-07,0.0,0.0,2.2377051528084096e-07,6.950282198832978e-07,1.1855404709644203e-06,5.951215506011025e-07,0.0,0.0,0.00019653391363624447,0.0001475939839884095,2.1333864309511704e-05,0.0003003770404343362,6.361823506822189e-05,0.0034774272999689732,1.576295749720873e-05,7.936622589195835e-05,2.2570072370503015e-06,4.392128261541029e-05,0.0,2.4386125026443702e-06,0.0,5.157098632811896e-07,9.803297489427797e-08,0.0,0.0,1.0293448633751598e-05,1.8650787137820365e-07,0.0,1.1380631871649234e-06,2.565978360078098e-06,2.675323668856031e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8486334798615005e-06,2.2064769254641614e-07,2.711134541752954e-05,1.9791320979962095e-06,0.00018187209230675783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00037897550233322974,5.438770376945559e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
