"Sector Index","Sector Name","100 Motor cycles and scooters","101 Bicycles, cycle-rickshaw","102 Other transport equipments","103 Aircraft & spacecraft","104 Medical, precision&optical instru.s","105 Jems & jewelry","106 Miscellaneous manufacturing","107 Construction and services","108 Electricity"
"1","Paddy","0","0","0","0","0","0","1140","269","7277"
"2","Wheat","0","0","0","0","1","2","1798","419","11060"
"3","Jowar","0","0","0","0","0","0","118","38","757"
"4","Bajra","0","0","0","0","0","0","129","45","858"
"5","Maize","0","0","0","0","19","0","296","76","1849"
"6","Gram","0","0","0","0","0","0","104","25","783"
"7","Pulses","0","0","0","0","4","0","782","187","5044"
"8","Sugarcane","0","0","0","0","276","0","1509","5856","444517"
"9","Groundnut","0","0","0","0","0","0","903","1788","70870"
"10","Coconut","0","0","0","0","9","4","247","533","12432"
"11","Other oilseeds","0","0","0","0","96","0","2360","4080","187085"
"12","Jute","0","0","0","0","33","11","50","41","1545"
"13","Cotton","0","0","0","0","476","8","222","39","3261"
"14","Tea","0","0","0","0","2","0","31","76","1184"
"15","Coffee","0","0","0","0","0","0","24","52","825"
"16","Rubber","18","0","2","0","770","13","3051","1670","527"
"17","Tobacco","0","0","0","0","0","0","1","0","1"
"18","Fruits","0","0","0","0","425","0","7973","2122","50362"
"19","Vegetables","0","0","0","0","16","0","174","90","1066"
"20","Other crops","0","0","1","0","873","28","3744","1978517","111485"
"21","Milk and milk products","0","0","0","0","248","2","13741","6684","50436"
"22","Poultry & Eggs","0","0","0","0","23","0","258","128","895"
"23","Other liv.st. produ.","0","0","0","0","4635","224","36089","1772521","23781"
"24","Animal Services","0","0","0","0","0","0","0","0","0"
"25","Forestry and Logging","16","1","2454","0","917","192","99005","11266402","4736"
"26","Fishing & Aquaculture","0","0","0","0","0","0","2492","84","10183"
"27","Coal and Lignite","364","1641","24","10","10395","88199","51474","15133","3468055"
"28","Crude petroleum","0","0","0","0","0","12","12342","0","12159"
"29","Natural Gas","0","0","0","0","402","191","669","0","1142"
"30","Iron ore","0","0","0","0","49593","0","6653","9946","34019"
"31","Manganese ore","18","57","0","0","12090","1252","5883","343","1048"
"32","Bauxite","1","890","0","0","9088","42374","15071","233","620"
"33","Copper ore","0","7680","0","0","520","365749","48536","171","4428"
"34","Other Metallic minerals","78","2664","0","7","6006","160501","46681","383","4776"
"35","Lime stone","0","0","0","0","29","0","18","340","2"
"36","Mica","0","0","0","0","0","0","0","0","0"
"37","Other non metallic minerals","43","6","11","1","1125","150096","1745","6443544","12"
"38","Sugar","0","0","0","0","39","13","237","34","1159"
"39","Khandsari, boora","0","0","0","0","22","0","166","21","330"
"40","Hydrogenated oil(vanaspati)","0","0","0","0","0","0","60","9","1043"
"41","Edible oils other than vanaspati","0","0","0","0","91","3","803","72","5460"
"42","Tea and coffee processing","0","0","0","0","1","0","3","0","9"
"43","Miscellaneous food products","3","1","0","0","519","42","2049","340","18202"
"44","Grain Mill products, starch and starch products","0","0","0","0","0","0","2310","226","6068"
"45","Beverages","0","0","0","0","13","1","62","12","382"
"46","Tobacco Products","0","0","0","0","0","0","0","40","10"
"47","Khadi, cotton textiles(handlooms)","8","0","2","0","396","55","1646","1","54"
"48","Cotton textiles","35","5","7","1","1595","166","6635","3","157"
"49","Woolen textiles","0","0","1","93","165","712","1140","0","73"
"50","Silk textiles","0","0","0","0","654","19","111","0","20"
"51","Art silk, synthetic fiber textiles","1751","24","242","7","12045","708","19570","4","1035"
"52","Jute, hemp, mesta textiles","3034","1462","343","8","1295","175","3559","5405","59"
"53","Carpet weaving","226","0","532","0","1","0","49","0","3"
"54","Miscellaneous textile products","280","7","18","81","6935","122","1801","1491","9406"
"55","Ready made garments","1939","50","127","558","5200","91","1350","110610","187129"
"56","Wood and wood products except furniture","15170","9209","3089","129","26376","15996","86429","711505","1072"
"57","Paper, Paper products and newsprint","4259","3379","1911","18","58520","7669","227436","77388","834360"
"58","Publishing, printing and allied activities","2","79","5","2","378","13","4481","1041","85536"
"59","Furniture & Fixtures","7527","21749","1399","151","4212","75","17425","906046","12964"
"60","Leather footwear","0","0","0","0","15","1","109","0","33"
"61","Leather and leather products","69","119","4","0","4465","75","9172","8","101"
"62","Rubber products","600763","196885","140585","970","18457","219","22556","621922","6377"
"63","Plastic products","384050","78918","53335","1752","98544","11911","345206","2295879","4972"
"64","Petroleum products","109240","52498","17060","3912","123923","46802","161576","1998232","7590381"
"65","Coal tar products","11","882","0","1","4732","4052","3145","2068285","214532"
"66","Inorganic heavy chemicals","8322","4066","2780","70","130542","36708","118333","6334","9791"
"67","Organic heavy chemicals","13057","1895","6280","87","108952","1797","197046","15360","9236"
"68","Fertilizers","0","0","30","0","196","8","1796","124485","440"
"69","Pesticides","1","0","88","0","96","5","2383","48441","2940"
"70","Paints, varnishes and lacquers","17597","4512","1220","95","10687","1831","64586","3805351","354"
"71","Soaps, cosmetics & glycerin","1","4","33","1","4627","410","27227","125","95"
"72","Synthetic fibers, resin","233907","3081","14451","83","89274","3329","505240","10282","940"
"73","Other chemicals","30198","12950","3544","28","44546","12628","48644","4101","33837"
"74","Drugs and medicine","0","0","0","0","0","0","0","604","1992"
"75","Structural clay products","0","4","0","0","106","1","9008","8046050","94"
"76","Cement","0","5","0","1","26000","295","14243","9768397","200"
