Epics/Tasks,Topic,Progress,Details,Link
SPRINT 1: Foundation & Networks,Build production network and collect all data sources,Not Yet,"Revised Question: How do global commodity shocks transmit through India's production network to affect sectoral vulnerability, and how does trade exposure amplify these effects?",https://github.com/aaronmat1905/

Epic 1.1: Data Acquisition,Download all FREE data sources (90 min total),Not Yet,,

Task 1.1.1,Download World Bank Pink Sheet commodity prices (oil wheat copper aluminum),Not Yet,World Bank - FREE - 5 min,https://www.worldbank.org/en/research/commodity-markets
Task 1.1.2,Download MOSPI Input-Output Tables (2015-16 139 sectors),Not Yet,MOSPI - FREE - 15 min,https://mospi.gov.in/
Task 1.1.3,Download RBI macroeconomic data (IIP WPI GDP exchange rates),Not Yet,RBI DBIE - FREE - 20 min,https://dbie.rbi.org.in/
Task 1.1.4,Download IMF Direction of Trade Statistics (India aggregate bilateral trade),Not Yet,IMF DOTS - FREE - 20 min,https://data.imf.org/
Task 1.1.5,Download OECD global indicators (GDP growth inflation),Not Yet,OECD Data Explorer - FREE - 15 min,https://data-explorer.oecd.org/
Task 1.1.6,Download NOAA climate indices (El Niño/La Niña for instruments),Not Yet,NOAA - FREE - 10 min,https://www.cpc.ncep.noaa.gov/
Task 1.1.7,Download OPEC production data (instruments for oil price),Not Yet,OPEC website - FREE - 10 min,https://www.opec.org/

Epic 1.2: Data Preprocessing,Clean all datasets and prepare for analysis,Not Yet,,

Task 1.2.1,Clean commodity prices: handle NaN remove outliers calculate log returns,Not Yet,Output: data/processed/commodity_prices_clean.csv,
Task 1.2.2,Process MOSPI I-O tables: extract Use matrix Make matrix calculate technical coefficients,Not Yet,Output: data/processed/io_coefficient_matrix.csv,
Task 1.2.3,Clean RBI IIP data: monthly production indices for 8 core industries + manufacturing,Not Yet,Output: data/processed/rbi_iip_clean.csv,
Task 1.2.4,Clean IMF DOTS data: India bilateral trade totals with 8 partners (USA CHN SAU ARE QAT DEU FRA ITA),Not Yet,Output: data/processed/imf_dots_india.csv,
Task 1.2.5,Create master time alignment: merge all datasets to monthly frequency (2010-2024),Not Yet,Output: data/processed/master_dataset.csv,
Task 1.2.6,Build data dictionary: document all 100+ variables with sources,Not Yet,Output: docs/data_dictionary.xlsx,

Epic 1.3: Production Network Construction,Build 139-sector production network from I-O tables,Not Yet,,

Task 1.3.1,Build sectoral production network: 139 sectors from I-O tables edges = input flows,Not Yet,Use NetworkX DiGraph,
Task 1.3.2,Calculate Leontief inverse matrix: (I - A)^-1 for multiplier analysis,Not Yet,Output: data/processed/leontief_inverse.csv,
Task 1.3.3,Calculate forward & backward linkages: identify key sectors,Not Yet,Output: data/processed/sector_linkages.csv,
Task 1.3.4,Identify energy-intensive sectors: flag sectors with >10% energy input share,Not Yet,Output: data/processed/sector_classification.csv,
Task 1.3.5,Calculate production network topology: density clustering path lengths,Not Yet,Output: networks/production_topology_metrics.csv,

Epic 1.4: Network Metrics & Trade Exposure,Calculate centrality and trade exposure indices,Not Yet,,

Task 1.4.1,Calculate centrality measures: degree betweenness closeness eigenvector PageRank,Not Yet,For all 139 sectors in production network,
Task 1.4.2,Calculate commodity exposure indices: sector's commodity input intensity,Not Yet,Energy exposure = energy inputs / total inputs,
Task 1.4.3,Calculate trade partner concentration: Herfindahl index from IMF DOTS,Not Yet,HHI = sum of squared trade shares,
Task 1.4.4,Create network visualizations: hierarchical production network (upstream→downstream),Not Yet,Use Gephi force-directed layout,
Task 1.4.5,Sprint 1 deliverables: presentation + documentation,Not Yet,Output: presentations/sprint1_review.pptx,

SPRINT 2: Causal Analysis & Feature Engineering,Establish causal pathways and create ML-ready features,Not Yet,,

