Input Output Table 2015-16 (? lakhs),46 Tobacco Products,"47 Khadi, cotton",48 Cotton textiles,49 Woolen textiles,50 Silk textiles,"51 Art silk, synthetic","52 Jute, hemp, mesta",53 Carpet weaving,54 Miscellaneous textile,Column1
1 Paddy,1,0,0,0,0,0,0,0,0,
2 Wheat,2,0,0,6,0,10,20,101,25,
3 Jowar,0,0,0,0,0,0,0,0,0,
4 Bajra,0,0,0,0,0,0,1,0,0,
5 Maize,0,0,2,0,0,4,16,0,13,
6 Gram,0,0,0,0,0,0,1,0,0,
7 Pulses,18,0,0,0,0,2,8,0,2,
8 Sugarcane,274240,0,32,0,0,0,202,0,166,
9 Groundnut,0,0,0,0,0,0,8,0,0,
10 Coconut,45,0,16,0,0,689,2664,404,46,
11 Other oilseeds,0,0,11,0,0,2,85,0,58,
12 Jute,0,166,7710,245,4903,105658,405566,62753,20856,
13 Cotton,0,39595,4263680,188105,28290,493075,9182,2827,520049,
14 Tea,0,0,0,0,0,0,2,0,70,
15 Coffee,0,0,0,0,0,0,0,0,46,
16 Rubber,0,0,60,0,0,7,4213,3,7,4921
17 Tobacco,1033471,0,0,0,0,0,0,0,0,
18 Fruits,0,0,11,0,0,102,69,0,40,
19 Vegetables,0,0,2,0,0,120,2,0,42,
20 Other crops,24130,1,425,14,4176,922,960,809,11294,
21 Milk and milk products,0,0,11,0,0,0,110,0,58,
22 Poultry & Eggs,0,0,1,0,0,0,7,0,5,
23 Other liv.st. produ.,0,1,4542,118224,29763,9000,200,1871,48340,
24 Animal Services,0,0,0,0,0,0,0,0,0,
25 Forestry and logging,528557,1,1152,97,4526,1916,2711,560,15761,
26 Fishing & Aquaculture,0,0,0,0,0,0,16,0,0,
27 Coal and Lignite,11893,4736,183373,23290,28076,313716,43159,11601,80649,
28 Crude petroleum,0,0,0,0,0,0,0,0,0,
29 Natural Gas,0,0,0,0,0,0,0,0,0,
30 Iron ore,0,0,1,1,0,0,0,0,0,
31 Manganese ore,0,0,1,2,0,0,0,0,0,
32 Bauxite,0,0,1,1,0,0,0,0,0,
33 Copper ore,0,0,0,0,0,0,0,0,0,
34 Other metallic minerals,0,0,1,1,0,3,0,0,2,
35 Lime stone,0,0,0,0,0,0,0,0,0,
36 Mica,0,0,0,0,0,0,0,0,0,
37 Other non metallic minerals,0,0,7,1,1,96,15,2,19,
38 Sugar,188,0,0,0,0,0,1,0,0,
"39 Khandsari, boora",0,0,0,0,0,0,0,0,0,
40 Hydrogenated oil(vanaspati),0,0,0,0,0,0,0,0,0,
41 Edible oils other than vanaspati,0,0,0,0,0,2,0,0,0,
42 Tea and coffee processing,116,0,0,0,0,0,0,0,0,
43 Miscellaneous food products,28678,3,265,12,0,53,3,0,40,
"44 Grain Mill products, starch and starch products",0,0,0,0,0,0,0,0,194,
45 Beverages,0,0,0,0,0,6,0,0,0,
46 Tobacco Products,273608,0,0,0,0,0,0,0,0,
"47 Khadi, cotton (handlooms)",0,45485,192556,6983,57049,33187,2346,8865,160806,
48 Cotton textiles,0,44828,800483,36367,167134,154461,7474,23766,406484,
49 Woolen textiles,0,86,21636,456087,25955,79493,38289,79875,72024,
50 Silk textiles,0,1,27961,2803,329497,64329,3025,2611,23084,
"51 Art silk, synthetic fiber textiles",5127,25465,943264,85895,336161,1084188,23165,61348,590619,
"52 Jute, hemp, mesta products",7623,173,22246,12165,8355,15604,17028,14480,24630,
53 Carpet weaving,0,0,2783,3464,343,393,9,50,529,
54 Miscellaneous textile products,0,27,521818,60450,14717,71718,2134,13172,100679,
55 Ready made garments,0,14,279029,32324,7870,38350,1141,7043,53836,
56 Wood and wood products except furniture,22765,602,11980,822,2259,7928,564,562,5816,
"57 Paper, Paper products and newsprint",42907,324,9035,720,1710,15627,1276,597,5614,
"58 Publishing, printing and allied activities",206,0,107,3,906,287,149,155,2524,
59 Furniture & Fixtures,0,0,132,4,13,1740,24,0,320,
60 Leather footwear,0,0,0,0,0,0,0,0,52,
61 Leather and leather products,0,4,7728,2565,14700,3671,640,3243,55547,
62 Rubber products,0,27,1549,205,5649,8361,675,3998,21510,
63 Plastic products,131040,7683,74507,7893,49837,453532,4000,6084,152516,
64 Petroleum products,23205,5779,185783,20616,46528,192554,4853,5074,73333,
65 Coal tar products,0,0,12,7,63,24,50,18,173,
66 Inorganic heavy chemicals,6377,4489,286186,18176,67036,1038075,13959,9910,182691,
67 Organic heavy chemicals,46049,2715,251189,9075,1359875,2563890,29926,6789,371818,
68 Fertilizers,0,0,0,0,0,374,1,0,362,
69 Pesticides,11973,0,116,4,9,14564,12,1,793,
"70 Paints, varnishes and lacquers",0,17066,165087,9850,12179,102318,8051,3236,58168,
"71 Soaps, cosmetics & glycerin",29201,6876,12754,646,10049,15401,620,2263,33939,
"72 Synthetic fibers, resin",0,602,124626,4518,97324,1207621,3876,15137,431256,
