Input Output Table 2015-16 (? lakhs),"82 Hand tools, hardware",83 Miscellaneous metal,84 Tractors and agri.,85 Industrial machinery(F,86 Industrial machinery(o,87 Machine tools,88 Other non-electrical,89 Electrical industrial,90 Electrical wires &
Paddy,0,179,0,0,111,0,2,0,0
Wheat,0,282,0,0,175,0,6,0,0
Jowar,0,19,0,0,12,0,0,0,0
Bajra,0,20,11,0,13,0,0,0,0
Maize,0,44,0,0,27,3,1,0,0
Gram,0,17,30,0,13,0,4,0,0
Pulses,0,127,1,0,95,2,9,0,0
Sugarcane,0,175,3,0,110,0,4,0,0
Groundnut,0,6,0,0,4,0,2,0,0
Coconut,0,199,1,0,6,10,62,0,0
Other oilseeds,0,61,37,0,49,2,12,0,0
Jute,0,16,0,1,24,38,67,0,0
Cotton,3,83,7,0,46,19,212,59,2
Tea,0,5,0,0,3,0,0,0,0
Coffee,0,4,0,0,2,0,0,0,0
Rubber,74,1694,1012,346,2129,5032,5170,9,11
Tobacco,0,0,0,0,0,0,0,0,0
Fruits,0,1278,7,0,821,84,56,0,0
Vegetables,2,67,6,2,30,160,85,0,0
Other crops,11,726,52,14,859,1273,2207,5,0
Milk and milk products,0,10,0,0,1,0,0,0,0
Poultry & eggs,0,0,0,0,0,0,0,0,0
Other liv.st. produ.,2,40,4,6,20,23,348,0,0
Animal Services,0,0,0,0,0,0,0,0,0
Forestry and Logging,14026,10956,4263,875,1132,13188,5638,603,51
Fishing & Aquaculture,0,0,0,0,130,0,3,0,0
Coal and Lignite,7029,452625,19890,1523,2114,11846,80812,889,43
Crude petroleum,0,0,0,0,0,0,0,0,0
Natural Gas,0,0,0,0,0,0,0,0,0
Iron ore,1087,300797,1187,0,10361,7479,58950,1955,168
Manganese ore,105,30439,1528,91,6479,6404,33852,58,1
Bauxite,100,97947,82,26,1857,4191,13202,16,2
Copper ore,803,835854,0,0,0,21881,74075,49,16
Other Metallic minerals,1487,410274,7625,2444,15694,23732,96887,212,19
Lime stone,3,791,4,0,17,13,83,1,0
Mica,0,0,0,0,0,0,0,0,0
Other non metallic minerals,834,11602,294,74,310,678,1788,140,19
Sugar,0,4,0,0,4,2,13,0,0
"Khandsari, boora",0,0,0,0,1,1,1,0,0
Hydrogenated oil(vanaspati),0,0,0,0,0,0,0,0,0
Edible oils other than vanaspati,0,0,0,0,5,20,21,1,0
Tea and coffee processing,0,0,0,0,0,0,0,0,0
Miscellaneous food products,26,33,112,206,89,369,515,20,1
"Grain Mill products, starch and starch products",0,0,0,0,0,0,40,0,0
Beverages,0,0,0,0,0,0,0,0,0
Tobacco Products,0,0,0,0,0,0,0,0,0
"Khadi, cotton textiles(handlooms)",14,177,10,19,20,186,219,23,8
Cotton textiles,66,787,36,72,82,769,844,94,27
Woolen textiles,6,176,2,2,13,138,178,413,17
Silk textiles,0,29,0,0,18,1,20,1,0
"Art silk, synthetic fiber textiles",2445,5783,465,1055,1952,3611,7352,1612,4646
"Jute, hemp, mesta textiles",2382,2681,270,160,403,1144,2583,577,203
Carpet weaving,26,230,8,1,0,22,156,12,0
Miscellaneous textile products,325,3809,169,118,487,782,6647,308,796
Ready made garments,264,3103,1142,794,3291,5285,44902,632,1631
Wood and wood products except furniture,15847,63205,3081,2333,7107,7181,30186,3201,705
"Paper, paper products and newsprint",4861,21533,2642,1888,3623,7117,35332,28920,6334
"Publishing, printing and allied activities",9,3217,181,305,778,873,25274,499,23
Furniture & Fixtures,6349,16199,10204,634,1781,7535,11025,7133,229
Leather footwear,0,2,0,0,0,1,2,0,0
Leather and leather products,127,856,264,97,248,504,686,349,28
Rubber products,3752,17895,106132,8788,52364,47377,111003,35305,20543
Plastic products,30507,206219,42482,16686,113050,154684,368374,173678,99722
Petroleum products,61940,298732,76151,44406,122963,150803,801608,74977,10438
Coal tar products,754,78482,705,1121,2805,3584,13459,1115,16
Inorganic heavy chemicals,12991,393627,12938,5931,20191,25386,176706,29314,21544
Organic heavy chemicals,10085,102112,9460,8418,15986,50189,186628,21644,32942
Fertilizers,22,1018,3086,4,14,110,580,5360,405
Pesticides,39,10961,125,5,76,121,7465,519,23
"Paints, varnishes and lacquers",6834,42760,3869,4200,7051,15087,48408,27208,1886
"Soaps, cosmetics & glycerin",31,1527,44,21,398,1496,2427,293,4
"Synthetic fibers, resin",3604,49874,4088,1723,11711,56060,98087,21487,77494
Other chemicals,19106,62904,8168,4859,11607,18234,56922,30593,15235
Drugs and medicine,0,0,0,0,0,0,0,0,0
Structural clay products,316,18291,29,14,36,42,900,3419,144
Cement,131,29610,42,17,821,704,1838,71,9
Other non-metallic mineral prods.,23464,194645,1488,2903,18424,7302,55708,23051,5306
"Iron, steel and ferro alloys",94909,458760,87124,48336,129287,76369,691836,169745,12365
Iron and steel casting & forging,135220,789271,192300,83860,164633,127545,894799,165914,10518
Iron and steel foundries,46117,302513,51896,15883,47142,38401,234449,105731,19188
Non ferrous basic metals (including alloys),231643,1824868,382164,164825,442812,298650,2807742,1080418,884111
"Hand tools, hardware",13252,104397,15562,6712,18032,12161,114333,37506,30692
Miscellaneous metal products,73934,76705,29541,29774,101230,69601,331860,67617,2592
Tractors and agri. implements,101,1194,34708,339,1469,1392,10510,4205,193
Industrial machinery(F & T),236,4137,9429,14762,8011,4635,54510,13108,299
Industrial machinery(others),388,4046,10419,1143,13349,4334,9052,1303,8
Machine tools,7240,20898,36222,11175,35940,16015,145714,36264,3849
Other non-electrical machinery,10773,79189,88603,23075,69386,35190,494711,72960,3363
Electrical industrial Machinery,1758,18904,3002,8494,7818,8937,81338,264528,15405
Electrical wires & cables,355,2949,559,142,496,1783,6942,78400,12555
Batteries,2659,9540,9148,241,806,4213,18493,63820,1421
Other electrical Machinery,13485,66838,11237,27415,37429,38103,202232,290661,18410
Electrical appliances,1358,9643,1908,1842,2682,5656,71187,17168,2253
Electronic equipments(incl.TV),7097,47857,3818,7648,20611,22591,101963,155599,5533
Watches and clocks,445,13938,211,332,1612,8635,23861,7280,87
Communication equipment,3481,64314,8131,990,3412,6556,71766,48509,3722
Ships and boats,7,698,24,2,36,281,1467,54,2
Rail equipments,411,1887,23751,440,6339,6124,8559,4932,1270
Motor vehicles,3510,11697,24483,1107,502,32356,29507,18847,814
Motor cycles and scooters,4746,18706,4595,83,23,14426,30760,2068,68
"Bicycles, cycle-rickshaw",161,5727,1077,26,170,537,5596,144,7
Other transport equipments,46,395,137,16,27,772,2039,818,10
Aircraft & spacecraft,0,0,0,0,0,680,112,0,0
"Medical, precision&optical instru.s",1104,72246,647,648,26084,29684,63748,8223,103
Jems & jewelry,2661,68963,549,513,11560,26446,26856,9694,162
Miscellaneous manufacturing,29744,75975,15099,10219,54326,29908,84643,32997,9768
Construction and construction services,124188,207031,10910,9867,121270,64935,170126,320134,15993
Electricity,73283,549776,290136,62959,150931,190178,1232209,586570,95304
Water Supply,374,1230,69,7,4,214,135,40,2
Railway transport,8305,152654,16289,7901,38964,21104,144946,26177,6736
Land transport,62218,392795,147510,56587,225286,164230,996977,408184,142302
Water transport,655,11145,693,216,925,1223,4624,979,204
Air transport,11285,64013,23558,8764,23479,18593,137678,48991,17479
Supportive and Auxiliary transport activities,4252,36508,14467,4385,13989,11604,75783,22654,8558
Storage and warehousing,141,229,0,0,0,0,80,0,0
Communication services,1409,9041,1340,569,1097,1060,15084,3526,282
Trade,96215,978628,328713,108833,268609,225831,1486521,492701,144797
Hotels & Restaurant,2,4,0,0,0,0,72,0,0
Financial services,40589,188638,37804,17773,50652,62673,354778,131161,23547
Insurance services,513,2637,845,173,722,641,6341,2302,163
Ownership of dwellings,0,0,0,0,0,0,2,0,0
Education and research,0,0,0,0,0,0,0,0,0
Medical and Health,0,0,0,0,0,0,0,0,0
Legal services,0,0,0,0,0,0,0,0,0
Computer related services,0,0,0,0,0,0,0,0,0
Other Business services,31978,421173,775101,27513,335800,197547,1017366,814932,35875
Real estate services,0,0,0,0,0,0,0,0,0
Renting of machinery & equipment,476,7615,323,67,295,1809,8341,2852,59
"Community, social and personal services",27,277,2868,81,421,462,2833,111,4
