"Sector Index","Sector Name","91 Batteries","92 Other electrical","93 Electrical appliances","94 Electronic equipments(i)","95 Watches and clocks","96 Communication","97 Ships and boats","98 Rail equipments","99 Motor vehicles"
"1","Paddy","0","0","0","0","0","0","0","0","0"
"2","Wheat","0","0","0","0","0","0","0","0","0"
"3","Jowar","0","0","0","0","0","0","0","0","0"
"4","Bajra","0","0","0","0","0","0","0","0","0"
"5","Maize","0","0","0","0","0","0","0","0","0"
"6","Gram","0","0","0","0","0","0","0","0","0"
"7","Pulses","0","0","0","0","0","0","0","0","0"
"8","Sugarcane","0","0","0","0","0","0","0","0","0"
"9","Groundnut","0","0","0","0","0","0","0","0","0"
"10","Coconut","0","0","0","0","0","0","0","0","0"
"11","Other oilseeds","0","0","0","0","0","0","0","0","0"
"12","Jute","0","0","0","0","0","0","0","1","0"
"13","Cotton","1","0","0","0","0","0","0","0","0"
"14","Tea","0","0","0","0","0","0","0","0","0"
"15","Coffee","0","0","0","0","0","0","0","0","0"
"16","Rubber","3","1","0","0","0","0","1","45","475"
"17","Tobacco","0","0","0","0","0","0","0","0","0"
"18","Fruits","0","0","0","0","0","0","0","0","0"
"19","Vegetables","0","0","0","0","0","0","0","5","1"
"20","Other crops","2","1","0","0","0","189","1","10","128"
"21","Milk and milk products","0","0","0","0","0","0","0","0","0"
"22","Poultry & Eggs","0","0","0","0","0","0","0","0","0"
"23","Other liv.st. produ.","0","0","197","65","1","0","0","0","0"
"24","Animal Services","0","0","0","0","0","0","0","0","0"
"25","Forestry and Logging","52","17","2654","7073","16","536","108","403","4628"
"26","Fishing & Aquaculture","0","0","9","37","0","0","0","0","0"
"27","Coal and Lignite","2193","715","2624","952","6","63","10","1094","5353"
"28","Crude petroleum","0","0","0","0","0","0","0","0","0"
"29","Natural Gas","0","0","0","0","0","0","0","0","0"
"30","Iron ore","732","251","0","0","0","0","0","641","0"
"31","Manganese ore","106","13","2621","250","0","47","0","532","1307"
"32","Bauxite","419","137","278","557","0","0","0","408","60"
"33","Copper ore","3550","1160","1939","4286","0","0","0","0","470"
"34","Other Metallic minerals","2029","545","54814","156962","2","271","10","259","10963"
"35","Lime stone","1","0","1","0","0","15","0","2","0"
"36","Mica","0","0","0","0","0","0","0","0","0"
"37","Other non metallic minerals","45","13","126","138","1","113","2","96","390"
"38","Sugar","1","0","0","0","0","0","0","0","1"
"39","Khandsari, boora","0","0","0","1","0","0","0","0","1"
"40","Hydrogenated oil(vanaspati)","0","0","0","0","0","0","0","0","0"
"41","Edible oils other than vanaspati","0","0","6","10","0","0","0","0","14"
"42","Tea and coffee processing","0","0","0","0","0","0","0","0","0"
"43","Miscellaneous food products","4","1","71","46","0","0","0","8","588"
"44","Grain Mill products, starch and starch products","0","0","25","0","0","0","0","0","0"
