"Sector Index","Sector Name","109 Water Supply","110 Railway Transport","111 Land transport","112 Water Transport","113 Air transport","114 Supportive and Auxiliary transport activities","115 Storage and warehousing","116 Communication services","117 Trade"
"1","Paddy","0","0","0","0","0","0","0","0","0"
"2","Wheat","0","0","0","0","0","0","0","0","0"
"3","Jowar","0","0","0","0","0","0","0","0","0"
"4","Bajra","0","0","0","0","0","0","0","0","0"
"5","Maize","0","0","0","0","0","0","0","0","0"
"6","Gram","0","0","0","0","0","0","0","0","0"
"7","Pulses","0","0","0","0","0","0","0","0","0"
"8","Sugarcane","0","0","0","0","0","0","0","0","0"
"9","Groundnut","0","0","0","0","0","0","0","0","0"
"10","Coconut","0","0","0","0","0","0","0","0","0"
"11","Other oilseeds","0","0","0","0","0","0","0","0","0"
"12","Jute","0","0","0","0","0","0","0","0","0"
"13","Cotton","0","0","0","0","0","0","0","0","0"
"14","Tea","0","0","0","0","0","0","0","0","0"
"15","Coffee","0","0","0","0","0","0","0","0","0"
"16","Rubber","0","3","154","0","1","1","0","0","47"
"17","Tobacco","0","0","0","0","0","0","0","0","0"
"18","Fruits","0","0","0","0","0","0","0","0","0"
"19","Vegetables","0","0","0","0","0","0","0","0","0"
"20","Other crops","0","1","79","0","3","10","0","0","447"
"21","Milk and milk products","0","0","0","0","0","0","0","0","0"
"22","Poultry & Eggs","0","0","0","0","0","0","0","0","0"
"23","Other liv.st. produ.","0","0","0","0","0","0","0","0","0"
"24","Animal Services","0","0","0","0","0","0","0","0","0"
"25","Forestry and Logging","6","15","1912","570","4","29","25","18","2858"
"26","Fishing & Aquaculture","0","0","0","0","0","0","0","0","0"
"27","Coal and Lignite","59","108","120","0","0","14","0","0","67"
"28","Crude petroleum","0","0","0","0","0","0","0","0","0"
"29","Natural Gas","0","0","0","0","0","0","0","0","0"
"30","Iron ore","0","0","0","0","0","0","0","0","0"
"31","Manganese ore","0","2","13","0","0","0","0","0","0"
"32","Bauxite","0","0","0","0","0","0","0","0","0"
"33","Copper ore","0","0","0","0","0","0","0","0","0"
"34","Other Metallic minerals","0","0","11","0","0","0","0","0","0"
"35","Lime stone","0","0","0","0","0","0","0","0","0"
"36","Mica","0","0","0","0","0","0","0","0","0"
"37","Other non metallic minerals","0","0","0","0","0","0","0","0","0"
"38","Sugar","0","0","0","0","0","0","0","0","0"
"39","Khandsari, boora","0","0","0","0","0","0","0","0","0"
"40","Hydrogenated oil(vanaspati)","0","0","0","0","0","0","0","0","0"
"41","Edible oils other than vanaspati","0","0","0","0","0","0","0","0","0"
"42","Tea and coffee processing","0","0","0","0","0","0","0","0","0"
"43","Miscellaneous food products","0","0","1","0","0","0","0","0","0"
"44","Grain Mill products, starch and starch products","0","0","0","0","0","0","0","0","0"
"45","Beverages","0","0","0","0","0","0","0","0","0"
